qtype,qcode,question,group,answer,e1,e2,aee1,aee2,hard,c1,c2,cchange,sd1,sd2,sd2.sd1,best,worst,aee1.ans,num,calibration,improve,propimprove
dates,3,Beethoven,1,1827,1793,1826.5,34,0.5,5,3.25,5.25,2,116.7590111,8.888194417,0.076124269,1825,1620,0.018609743,4,0.210818511,1,0.75
dates,3,Beethoven,2,1827,1858.666667,1849.333333,31.66666667,22.33333333,7,2.666666667,5.333333333,2.666666667,18.58314649,3.055050463,0.164398987,1846,1880,0.017332604,3,-0.5,1,0.333333333
dates,3,Beethoven,3,1827,1816.666667,1786.666667,10.33333333,40.33333333,6,3,4.666666667,1.666666667,66.58328118,11.54700538,0.173421994,1800,1760,0.005655902,3,0.5,0,0.666666667
dates,3,Beethoven,4,1827,1763,1825,64,2,5,3.5,4.25,0.75,94.77693109,19.89974874,0.209964055,1780,1682,0.035030104,4,0.737864787,1,1
dates,3,Beethoven,5,1827,1651.6,1483.4,175.4,343.6,6,2.2,2,-0.2,229.9930434,221.6366396,0.963666711,1840,1312,0.096004379,5,-0.353553391,0,0.2
dates,3,Beethoven,6,1827,1625,1722,202,105,5.2,3.2,4.4,1.2,174.8570845,4.472135955,0.025575949,1750,1330,0.110563766,5,-0.666885929,1,0.4
dates,3,Beethoven,7,1827,1760,1735,67,92,6.5,3.25,3,-0.25,134.412301,107.5484387,0.800138364,1850,1600,0.03667214,4,-0.2,0,0.25
dates,3,Beethoven,8,1827,1605.5,1535.5,221.5,291.5,5.5,3.75,4.75,1,172.8226451,71.46794153,0.413533432,1810,1430,0.121237001,4,-0.948683298,0,0.25
dates,3,Beethoven,9,1827,1581.4,1857.4,245.6,30.4,6,2,5.8,3.8,289.2002766,5.54977477,0.019190074,1856,1260,0.134428024,5,0.474341649,1,0.8
dates,3,Beethoven,10,1827,1655.2,1769.4,171.8,57.6,6.6,1.6,5,3.4,190.5812163,39.17014169,0.205529918,1862,1400,0.094033935,5,0.353553391,1,0.8
dates,3,Beethoven,11,1827,1573,1707,254,120,5,2.75,3.25,0.5,388.0369398,71.80529228,0.185047569,1847,1000,0.139025725,4,0.210818511,1,0.5
